seed,eve_present,noise_type,noise_strength,noise_class,transmissions,matching_bases,sifted_key_length,sifted_key_rate,raw_error_count,qber,key_accuracy,qber_z_basis,qber_x_basis,zero_to_one_error_rate,one_to_zero_error_rate,alice_one_rate,bob_one_rate,simulation_seconds,run_id,repetition
42,0,ideal,0.0,ideal,32,15,15,0.46875,0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,1.4443500240004141,0,0
43,0,ideal,0.0,ideal,32,14,14,0.4375,0,0.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,1.1198409260005064,1,1
44,1,ideal,0.0,ideal,32,13,13,0.40625,4,0.3076923076923077,0.6923076923076923,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.46153846153846156,0.46153846153846156,2.1228744530008044,2,0
45,1,ideal,0.0,ideal,32,20,20,0.625,7,0.35,0.65,0.375,0.3333333333333333,0.25,0.4166666666666667,0.6,0.45,2.025041959999726,3,1
46,0,depolarizing,0.03,low,32,15,15,0.46875,0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0683733790001497,4,0
47,1,depolarizing,0.03,low,32,14,14,0.4375,5,0.35714285714285715,0.6428571428571428,0.375,0.3333333333333333,0.42857142857142855,0.2857142857142857,0.5,0.5714285714285714,2.1655769420003708,5,0
48,0,depolarizing,0.08,medium,32,12,12,0.375,1,0.08333333333333333,0.9166666666666666,0.0,0.14285714285714285,0.14285714285714285,0.0,0.4166666666666667,0.5,0.9977000529997895,6,0
49,1,depolarizing,0.08,medium,32,18,18,0.5625,3,0.16666666666666666,0.8333333333333334,0.2,0.125,0.2,0.125,0.4444444444444444,0.5,2.089203537000685,7,0
50,0,depolarizing,0.12,high,32,10,10,0.3125,1,0.1,0.9,0.0,0.2,0.14285714285714285,0.0,0.3,0.4,0.9556268509995789,8,0
51,1,depolarizing,0.12,high,32,13,13,0.40625,4,0.3076923076923077,0.6923076923076923,0.5,0.0,0.2,0.6666666666666666,0.23076923076923078,0.23076923076923078,1.9499954849998176,9,0
52,0,readout,0.03,low,32,16,16,0.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.6875,0.6875,1.0056883970000854,10,0
53,1,readout,0.03,low,32,16,16,0.5,6,0.375,0.625,0.42857142857142855,0.3333333333333333,0.625,0.125,0.5,0.75,1.9698415920001935,11,0
54,0,readout,0.08,medium,32,15,15,0.46875,0,0.0,1.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.7333333333333333,1.1112829240000792,12,0
55,1,readout,0.08,medium,32,20,20,0.625,3,0.15,0.85,0.0,0.3,0.0,0.2,0.75,0.6,2.076272205999885,13,0
56,0,readout,0.12,high,32,12,12,0.375,0,0.0,1.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,1.1457889169996633,14,0
57,1,readout,0.12,high,32,21,21,0.65625,7,0.3333333333333333,0.6666666666666667,0.38461538461538464,0.25,0.375,0.3076923076923077,0.6190476190476191,0.5714285714285714,2.0355933320006443,15,0
58,0,amplitude_damping,0.03,low,32,14,14,0.4375,0,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,1.0058486259995334,16,0
59,1,amplitude_damping,0.03,low,32,21,21,0.65625,7,0.3333333333333333,0.6666666666666667,0.0,0.5384615384615384,0.36363636363636365,0.3,0.47619047619047616,0.5238095238095238,2.273424337000506,17,0
60,0,amplitude_damping,0.08,medium,32,18,18,0.5625,1,0.05555555555555555,0.9444444444444444,0.16666666666666666,0.0,0.0,0.1111111111111111,0.5,0.4444444444444444,1.0536435629992411,18,0
61,1,amplitude_damping,0.08,medium,32,20,20,0.625,10,0.5,0.5,0.5555555555555556,0.45454545454545453,0.42857142857142855,0.5384615384615384,0.65,0.45,2.425087636999706,19,0
62,0,amplitude_damping,0.12,high,32,18,18,0.5625,1,0.05555555555555555,0.9444444444444444,0.1111111111111111,0.0,0.0,0.125,0.4444444444444444,0.3888888888888889,1.3040814380001393,20,0
63,1,amplitude_damping,0.12,high,32,20,20,0.625,6,0.3,0.7,0.2727272727272727,0.3333333333333333,0.25,0.3333333333333333,0.6,0.5,2.332914398999492,21,0
64,0,combined,0.03,low,32,17,17,0.53125,2,0.11764705882352941,0.8823529411764706,0.0,0.15384615384615385,0.25,0.07692307692307693,0.7647058823529411,0.7647058823529411,1.226101918000495,22,0
65,1,combined,0.03,low,32,15,15,0.46875,6,0.4,0.6,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2,0.3333333333333333,2.636628338000264,23,0
66,0,combined,0.08,medium,32,17,17,0.53125,3,0.17647058823529413,0.8235294117647058,0.2,0.16666666666666666,0.25,0.1111111111111111,0.5294117647058824,0.5882352941176471,1.2885830690001967,24,0
67,1,combined,0.08,medium,32,13,13,0.40625,5,0.38461538461538464,0.6153846153846154,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.46153846153846156,0.5384615384615384,2.6430828000002293,25,0
68,0,combined,0.12,high,32,20,20,0.625,4,0.2,0.8,0.1111111111111111,0.2727272727272727,0.18181818181818182,0.2222222222222222,0.45,0.45,1.0105303239997738,26,0
69,1,combined,0.12,high,32,16,16,0.5,4,0.25,0.75,0.25,0.25,0.4,0.18181818181818182,0.6875,0.6875,2.155318752000312,27,0
