original_index,alice_key_bit,bob_key_bit,match
0,1,1,1
4,1,1,1
7,1,0,0
8,1,0,0
9,1,1,1
10,1,1,1
12,0,0,1
13,0,0,1
14,0,1,0
16,0,0,1
18,1,1,1
22,1,1,1
23,1,1,1
26,0,1,0
27,0,1,0
28,0,0,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,0,0
38,0,1,0
41,0,1,0
43,1,1,1
47,1,1,1
48,0,1,0
52,0,1,0
53,0,0,1
55,1,1,1
58,1,1,1
59,1,1,1
61,1,1,1
64,0,1,0
66,0,1,0
72,0,0,1
76,0,0,1
78,0,0,1
82,0,0,1
83,1,1,1
87,0,0,1
89,1,1,1
94,0,0,1
97,1,0,0
102,1,1,1
108,0,0,1
111,1,1,1
112,0,1,0
114,1,1,1
115,1,1,1
118,1,1,1
119,0,1,0
120,0,1,0
122,0,0,1
123,0,0,1
126,0,0,1
127,0,1,0
130,1,1,1
132,1,1,1
136,1,1,1
137,1,1,1
141,0,0,1
142,0,0,1
144,0,0,1
145,1,1,1
146,1,1,1
151,1,1,1
152,0,0,1
153,1,1,1
156,0,0,1
158,1,0,0
163,0,0,1
164,1,1,1
166,0,1,0
167,1,0,0
169,0,1,0
170,0,0,1
173,0,1,0
174,1,0,0
175,0,0,1
176,1,0,0
177,0,0,1
179,0,0,1
182,0,0,1
184,0,0,1
186,0,1,0
191,1,0,0
193,0,0,1
197,0,0,1
198,0,1,0
199,1,1,1
201,1,1,1
203,1,1,1
204,1,1,1
207,0,0,1
209,1,0,0
212,0,0,1
213,0,1,0
214,0,1,0
216,0,0,1
217,0,0,1
218,0,1,0
219,0,0,1
220,0,1,0
221,1,0,0
224,1,0,0
226,1,1,1
230,0,0,1
235,1,0,0
236,1,1,1
239,1,1,1
240,1,1,1
241,1,0,0
243,1,1,1
245,1,0,0
247,1,1,1
248,0,0,1
249,0,1,0
250,1,1,1
251,0,0,1
253,1,1,1
263,0,0,1
265,0,0,1
266,1,1,1
267,1,1,1
269,0,0,1
270,1,0,0
271,0,0,1
275,0,0,1
276,0,0,1
277,1,0,0
280,1,0,0
282,1,1,1
284,1,1,1
285,0,0,1
291,0,0,1
292,0,0,1
296,0,0,1
297,0,0,1
298,1,0,0
299,1,1,1
302,1,1,1
303,0,1,0
311,0,1,0
315,1,1,1
316,0,0,1
322,1,1,1
323,1,1,1
324,0,1,0
328,0,0,1
329,1,1,1
330,0,0,1
331,0,0,1
332,1,1,1
334,0,0,1
335,1,1,1
336,1,1,1
338,0,1,0
