index,alice_bit,alice_basis,bob_basis,eve_basis,eve_result,bob_result,bases_match,alice_basis_label,bob_basis_label,eve_basis_label,bob_correct
0,1,1,1,1,1,1,1,X,X,X,1
1,0,1,0,0,0,0,0,X,Z,Z,1
2,1,1,0,1,1,0,0,X,Z,X,0
3,0,0,1,1,0,0,0,Z,X,X,1
4,1,0,0,0,1,1,1,Z,Z,Z,1
5,1,0,1,0,1,0,0,Z,X,Z,0
6,0,0,1,0,0,0,0,Z,X,Z,1
7,1,0,0,1,1,0,1,Z,Z,X,0
8,1,1,1,0,0,0,1,X,X,Z,0
9,1,1,1,1,1,1,1,X,X,X,1
10,1,1,1,1,1,1,1,X,X,X,1
11,1,0,1,1,1,1,0,Z,X,X,1
12,0,1,1,1,0,0,1,X,X,X,1
13,0,1,1,1,0,0,1,X,X,X,1
14,0,0,0,1,1,1,1,Z,Z,X,0
15,0,1,0,0,1,1,0,X,Z,Z,0
16,0,1,1,1,0,0,1,X,X,X,1
17,0,1,0,1,0,0,0,X,Z,X,1
18,1,0,0,1,0,1,1,Z,Z,X,1
19,0,1,0,0,1,1,0,X,Z,Z,0
20,1,0,1,1,0,0,0,Z,X,X,0
21,0,1,0,0,0,0,0,X,Z,Z,1
22,1,1,1,0,0,1,1,X,X,Z,1
23,1,0,0,0,1,1,1,Z,Z,Z,1
24,1,0,1,0,1,0,0,Z,X,Z,0
25,1,0,1,1,0,0,0,Z,X,X,0
26,0,1,1,0,0,1,1,X,X,Z,0
27,0,0,0,1,1,1,1,Z,Z,X,0
28,0,0,0,0,0,0,1,Z,Z,Z,1
29,1,1,0,1,1,0,0,X,Z,X,0
30,1,0,1,0,1,1,0,Z,X,Z,1
31,1,1,1,1,1,1,1,X,X,X,1
32,1,0,0,0,1,1,1,Z,Z,Z,1
33,1,0,0,0,1,1,1,Z,Z,Z,1
34,1,0,0,1,1,0,1,Z,Z,X,0
35,0,1,0,0,1,1,0,X,Z,Z,0
36,1,0,1,0,1,1,0,Z,X,Z,1
37,0,1,0,0,1,1,0,X,Z,Z,0
38,0,0,0,1,1,1,1,Z,Z,X,0
39,0,1,0,1,0,0,0,X,Z,X,1
40,1,0,1,1,0,0,0,Z,X,X,0
41,0,1,1,0,0,1,1,X,X,Z,0
42,1,0,1,1,0,0,0,Z,X,X,0
43,1,0,0,0,1,1,1,Z,Z,Z,1
44,1,1,0,1,1,0,0,X,Z,X,0
45,0,0,1,1,1,1,0,Z,X,X,0
46,1,1,0,0,0,0,0,X,Z,Z,0
47,1,1,1,1,1,1,1,X,X,X,1
48,0,0,0,1,1,1,1,Z,Z,X,0
