alice_key_bit,bob_key_bit,match
0,0,1
0,1,0
0,1,0
1,1,1
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
0,1,0
1,0,0
1,1,1
1,1,1
0,0,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,1,0
1,1,1
1,1,1
0,0,1
0,0,1
1,0,0
1,1,1
1,1,1
0,0,1
1,1,1
0,0,1
1,1,1
0,0,1
1,1,1
0,0,1
1,1,1
0,1,0
0,0,1
0,0,1
0,0,1
1,0,0
1,1,1
1,1,1
1,0,0
1,0,0
0,0,1
0,1,0
0,0,1
1,1,1
1,1,1
1,0,0
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,0,0
1,1,1
1,1,1
0,0,1
1,0,0
1,1,1
0,0,1
0,0,1
1,1,1
0,1,0
1,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,1,0
1,1,1
0,0,1
1,0,0
0,0,1
0,0,1
0,1,0
1,1,1
1,1,1
0,1,0
0,0,1
1,1,1
0,1,0
1,0,0
0,1,0
1,1,1
1,1,1
0,0,1
1,1,1
1,1,1
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
0,0,1
1,1,1
1,1,1
0,0,1
1,0,0
0,1,0
0,1,0
1,1,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
0,0,1
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
0,0,1
1,0,0
1,0,0
1,1,1
1,0,0
0,1,0
1,0,0
0,0,1
0,0,1
1,1,1
0,1,0
0,0,1
0,1,0
1,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,1,1
1,1,1
1,1,1
1,1,1
0,1,0
1,1,1
0,0,1
1,0,0
0,0,1
0,0,1
0,0,1
1,1,1
0,0,1
1,1,1
1,1,1
1,0,0
1,1,1
0,1,0
0,0,1
1,1,1
0,0,1
0,0,1
0,0,1
1,0,0
1,1,1
0,0,1
0,1,0
0,0,1
1,1,1
0,0,1
1,1,1
1,1,1
0,1,0
1,1,1
1,1,1
0,0,1
1,1,1
1,0,0
0,0,1
0,0,1
1,1,1
0,0,1
1,1,1
1,1,1
0,0,1
1,1,1
0,1,0
1,1,1
1,0,0
1,0,0
1,0,0
1,1,1
1,1,1
0,0,1
1,1,1
1,0,0
1,1,1
0,0,1
1,1,1
0,0,1
0,1,0
1,0,0
1,1,1
1,0,0
1,1,1
1,1,1
1,1,1
1,0,0
0,0,1
1,0,0
1,1,1
1,0,0
1,1,1
0,0,1
1,0,0
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
1,0,0
1,1,1
0,0,1
0,0,1
1,1,1
1,1,1
1,0,0
0,0,1
0,0,1
1,1,1
0,0,1
1,1,1
1,1,1
1,0,0
1,0,0
0,1,0
0,0,1
0,0,1
1,1,1
0,0,1
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
0,0,1
1,1,1
0,0,1
1,0,0
0,1,0
0,0,1
1,0,0
0,0,1
0,0,1
1,1,1
0,0,1
1,1,1
0,1,0
1,1,1
0,0,1
1,1,1
1,1,1
1,1,1
0,1,0
1,1,1
1,1,1
1,1,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
0,0,1
1,1,1
1,1,1
0,1,0
1,1,1
0,1,0
1,0,0
0,0,1
0,0,1
0,0,1
1,1,1
0,1,0
1,1,1
0,1,0
1,0,0
1,1,1
0,0,1
0,0,1
1,0,0
1,0,0
1,1,1
1,1,1
0,1,0
1,1,1
1,0,0
1,1,1
1,1,1
0,0,1
1,0,0
0,1,0
0,0,1
0,1,0
1,1,1
1,0,0
0,0,1
1,1,1
1,1,1
0,0,1
0,0,1
1,1,1
1,0,0
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
0,1,0
0,0,1
0,0,1
1,1,1
0,0,1
1,1,1
0,1,0
0,0,1
0,1,0
1,1,1
0,1,0
1,1,1
0,0,1
0,0,1
1,0,0
1,0,0
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
1,0,0
1,1,1
1,1,1
0,0,1
1,1,1
1,1,1
1,0,0
1,1,1
1,1,1
0,1,0
1,1,1
0,0,1
1,0,0
1,1,1
1,0,0
1,1,1
1,1,1
0,0,1
1,1,1
1,1,1
0,0,1
0,0,1
1,0,0
1,0,0
1,1,1
1,0,0
0,0,1
0,0,1
1,1,1
0,1,0
0,0,1
1,1,1
0,0,1
1,0,0
0,0,1
1,0,0
1,1,1
0,1,0
0,1,0
1,1,1
0,0,1
0,1,0
0,0,1
1,0,0
0,0,1
0,0,1
1,0,0
0,0,1
1,1,1
0,1,0
1,1,1
1,1,1
0,1,0
0,1,0
1,0,0
0,0,1
0,0,1
0,1,0
1,1,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,1,1
1,1,1
0,1,0
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
1,1,1
0,0,1
1,0,0
0,0,1
0,0,1
0,0,1
1,1,1
0,0,1
1,1,1
0,0,1
1,1,1
0,1,0
0,0,1
0,0,1
0,1,0
0,1,0
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
1,1,1
1,1,1
1,1,1
0,0,1
0,1,0
0,0,1
1,1,1
0,0,1
1,1,1
1,1,1
1,1,1
0,0,1
0,0,1
0,0,1
0,1,0
1,1,1
1,0,0
1,0,0
1,1,1
0,0,1
1,1,1
1,1,1
0,0,1
1,1,1
0,0,1
0,1,0
1,1,1
1,1,1
1,0,0
1,0,0
1,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,1,1
1,1,1
1,1,1
0,1,0
1,1,1
1,1,1
0,0,1
1,1,1
0,0,1
0,1,0
1,1,1
0,0,1
0,0,1
0,0,1
0,1,0
1,1,1
0,0,1
0,0,1
1,1,1
1,1,1
1,0,0
1,1,1
1,1,1
1,1,1
0,0,1
1,1,1
1,1,1
1,1,1
0,1,0
0,1,0
0,0,1
0,0,1
1,1,1
0,1,0
1,1,1
1,1,1
0,0,1
0,0,1
1,1,1
1,1,1
1,1,1
0,1,0
0,0,1
1,1,1
0,1,0
0,0,1
1,1,1
0,0,1
1,0,0
0,1,0
0,0,1
1,1,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
0,1,0
0,0,1
0,1,0
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
0,0,1
1,1,1
1,0,0
0,0,1
0,0,1
1,1,1
1,1,1
1,0,0
0,1,0
0,0,1
1,1,1
0,0,1
0,0,1
0,0,1
0,1,0
1,0,0
0,0,1
0,0,1
0,0,1
1,1,1
1,1,1
0,1,0
0,0,1
0,0,1
1,1,1
1,1,1
1,0,0
0,0,1
0,0,1
1,1,1
0,1,0
0,0,1
1,1,1
1,0,0
0,0,1
1,1,1
0,0,1
1,1,1
0,1,0
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
1,1,1
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
1,1,1
1,0,0
1,1,1
0,1,0
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
1,1,1
1,1,1
0,0,1
0,1,0
0,0,1
0,0,1
0,0,1
0,1,0
1,1,1
1,0,0
0,0,1
0,0,1
1,0,0
0,0,1
0,0,1
0,0,1
1,1,1
1,1,1
1,0,0
0,0,1
1,1,1
1,0,0
1,0,0
0,0,1
0,0,1
0,1,0
0,1,0
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
0,0,1
0,1,0
1,1,1
0,0,1
0,1,0
1,1,1
1,1,1
0,0,1
0,0,1
1,0,0
1,1,1
1,0,0
1,1,1
0,0,1
0,1,0
1,0,0
0,0,1
1,0,0
1,0,0
0,0,1
0,0,1
0,1,0
1,1,1
1,0,0
0,0,1
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
1,1,1
0,0,1
0,1,0
1,0,0
1,1,1
0,1,0
1,0,0
1,1,1
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
0,0,1
1,1,1
1,1,1
1,1,1
0,0,1
1,1,1
1,1,1
1,1,1
1,1,1
0,0,1
0,0,1
1,1,1
1,1,1
1,1,1
0,0,1
1,1,1
1,1,1
1,1,1
0,0,1
1,0,0
0,1,0
0,0,1
0,0,1
0,0,1
1,1,1
0,1,0
1,1,1
1,1,1
1,0,0
0,1,0
0,0,1
0,1,0
0,0,1
0,0,1
0,0,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,0,1
1,1,1
0,0,1
1,1,1
1,1,1
1,1,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,0
0,0,1
0,0,1
1,0,0
1,1,1
0,0,1
0,0,1
0,1,0
0,1,0
0,1,0
0,0,1
0,0,1
1,0,0
1,1,1
0,0,1
1,1,1
0,0,1
0,1,0
0,0,1
1,1,1
1,1,1
0,0,1
0,0,1
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
0,0,1
1,0,0
0,0,1
0,1,0
0,0,1
1,1,1
1,1,1
1,0,0
1,1,1
0,0,1
0,0,1
1,1,1
0,1,0
0,0,1
1,0,0
0,1,0
0,0,1
0,1,0
1,1,1
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
1,1,1
0,0,1
0,0,1
0,1,0
1,1,1
1,1,1
1,1,1
1,0,0
1,1,1
1,1,1
0,0,1
0,0,1
1,1,1
0,1,0
0,1,0
0,0,1
0,0,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,1,0
0,1,0
0,0,1
1,1,1
0,1,0
0,0,1
0,0,1
0,1,0
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
1,0,0
0,0,1
0,0,1
1,1,1
0,0,1
1,1,1
1,1,1
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
1,1,1
1,1,1
0,0,1
0,1,0
0,0,1
1,0,0
0,0,1
0,1,0
1,1,1
1,1,1
1,0,0
0,0,1
0,1,0
0,1,0
1,1,1
1,1,1
1,1,1
0,0,1
0,1,0
0,1,0
1,1,1
1,1,1
1,0,0
1,1,1
0,1,0
0,1,0
1,1,1
1,1,1
1,1,1
1,0,0
1,0,0
0,1,0
0,1,0
0,1,0
1,1,1
0,0,1
0,0,1
0,1,0
1,1,1
1,1,1
0,1,0
0,1,0
1,1,1
1,0,0
0,0,1
0,0,1
1,1,1
0,0,1
0,1,0
0,0,1
1,1,1
1,0,0
0,0,1
0,1,0
0,1,0
1,1,1
1,1,1
0,0,1
1,0,0
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
0,0,1
1,1,1
0,1,0
1,1,1
1,1,1
0,0,1
1,1,1
0,1,0
1,1,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
1,1,1
1,1,1
0,0,1
1,1,1
1,1,1
1,0,0
0,0,1
1,1,1
0,0,1
1,1,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
0,0,1
0,1,0
1,1,1
1,1,1
1,1,1
0,0,1
0,0,1
1,1,1
1,1,1
1,1,1
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
1,1,1
0,0,1
1,1,1
0,0,1
1,0,0
1,0,0
1,1,1
1,1,1
1,0,0
0,1,0
0,0,1
1,0,0
0,0,1
0,1,0
0,1,0
1,1,1
0,1,0
1,1,1
1,1,1
1,1,1
1,1,1
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
1,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,1,0
1,0,0
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
1,1,1
1,0,0
0,0,1
1,1,1
0,0,1
0,0,1
0,1,0
1,0,0
0,1,0
1,1,1
0,1,0
1,1,1
0,0,1
1,1,1
1,1,1
1,1,1
0,0,1
0,0,1
1,1,1
1,0,0
1,1,1
1,1,1
0,1,0
0,1,0
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
1,0,0
1,1,1
0,0,1
0,0,1
1,1,1
0,0,1
0,1,0
0,0,1
1,1,1
1,1,1
0,1,0
1,0,0
1,0,0
0,1,0
1,0,0
0,0,1
1,0,0
0,0,1
1,1,1
1,1,1
0,0,1
1,1,1
1,1,1
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
1,1,1
1,0,0
1,1,1
1,1,1
1,1,1
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
1,1,1
1,0,0
1,0,0
0,0,1
1,1,1
1,1,1
0,0,1
1,0,0
1,0,0
0,0,1
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
0,0,1
1,1,1
0,1,0
0,1,0
0,0,1
1,0,0
1,1,1
0,1,0
0,0,1
1,1,1
0,1,0
1,0,0
1,1,1
0,0,1
0,0,1
1,0,0
1,1,1
1,1,1
0,0,1
0,0,1
0,1,0
1,0,0
0,1,0
0,0,1
0,0,1
1,1,1
1,0,0
0,1,0
0,0,1
1,1,1
0,0,1
1,1,1
0,0,1
1,1,1
0,0,1
1,1,1
0,0,1
0,1,0
0,1,0
0,1,0
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
1,1,1
0,1,0
0,0,1
1,1,1
0,0,1
1,1,1
0,1,0
0,0,1
0,0,1
1,1,1
1,1,1
0,0,1
0,0,1
0,0,1
1,0,0
1,1,1
0,1,0
1,0,0
0,0,1
0,0,1
1,1,1
1,1,1
1,1,1
1,1,1
1,0,0
0,1,0
1,0,0
0,0,1
1,1,1
1,1,1
0,0,1
1,1,1
1,0,0
0,0,1
1,0,0
1,0,0
1,1,1
1,1,1
0,1,0
1,1,1
1,1,1
1,1,1
1,0,0
0,1,0
1,1,1
1,1,1
0,0,1
1,1,1
1,0,0
0,1,0
0,1,0
0,0,1
0,0,1
1,1,1
0,0,1
0,0,1
0,0,1
0,1,0
1,1,1
1,0,0
1,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,0
0,0,1
1,1,1
0,0,1
0,0,1
0,1,0
0,1,0
1,1,1
0,0,1
1,1,1
0,0,1
0,0,1
0,0,1
1,1,1
0,0,1
