index,alice_bit,alice_basis,bob_basis,eve_basis,eve_result,bob_result,bases_match,alice_basis_label,bob_basis_label,eve_basis_label,bob_correct
0,0,0,0,1,0,0,1,Z,Z,X,1
1,1,0,1,1,0,0,0,Z,X,X,0
2,0,0,0,1,0,1,1,Z,Z,X,0
3,0,0,1,0,0,0,0,Z,X,Z,1
4,0,1,1,0,1,1,1,X,X,Z,0
5,1,0,0,0,1,1,1,Z,Z,Z,1
6,0,0,1,0,0,1,0,Z,X,Z,0
7,0,0,1,1,0,0,0,Z,X,X,1
8,0,1,0,1,0,0,0,X,Z,X,1
9,1,0,0,1,0,1,1,Z,Z,X,1
10,0,0,0,1,1,0,1,Z,Z,X,1
11,0,1,0,0,0,0,0,X,Z,Z,1
12,0,1,1,1,0,0,1,X,X,X,1
13,0,0,0,0,0,0,1,Z,Z,Z,1
14,1,0,0,1,1,1,1,Z,Z,X,1
15,0,0,0,1,1,1,1,Z,Z,X,0
16,1,0,0,1,0,0,1,Z,Z,X,0
17,1,0,0,0,1,1,1,Z,Z,Z,1
18,1,1,1,0,0,1,1,X,X,Z,1
19,0,1,0,1,0,1,0,X,Z,X,0
20,1,0,1,1,0,0,0,Z,X,X,0
21,0,0,0,1,1,0,1,Z,Z,X,1
22,1,1,0,0,0,0,0,X,Z,Z,0
23,1,0,0,0,1,1,1,Z,Z,Z,1
24,1,0,0,0,1,1,1,Z,Z,Z,1
25,1,0,0,1,1,1,1,Z,Z,X,1
26,1,0,0,0,1,1,1,Z,Z,Z,1
27,1,0,0,1,0,1,1,Z,Z,X,1
28,1,1,0,0,1,1,0,X,Z,Z,1
29,1,0,1,1,1,1,0,Z,X,X,1
30,0,0,0,1,0,1,1,Z,Z,X,0
31,0,0,1,0,0,1,0,Z,X,Z,0
32,1,1,0,1,1,0,0,X,Z,X,0
33,1,1,1,1,1,1,1,X,X,X,1
34,1,1,0,1,1,0,0,X,Z,X,0
35,0,1,0,0,0,0,0,X,Z,Z,1
36,1,0,0,1,0,1,1,Z,Z,X,1
37,0,1,1,0,1,0,1,X,X,Z,1
38,0,0,1,0,0,0,0,Z,X,Z,1
39,0,0,1,1,0,0,0,Z,X,X,1
40,0,1,1,0,1,0,1,X,X,Z,1
41,0,1,0,1,0,0,0,X,Z,X,1
42,1,1,0,0,1,1,0,X,Z,Z,1
43,1,1,0,1,1,1,0,X,Z,X,1
44,1,1,1,0,1,0,1,X,X,Z,0
45,1,0,0,1,0,1,1,Z,Z,X,1
46,1,1,1,1,1,1,1,X,X,X,1
47,0,1,1,1,0,0,1,X,X,X,1
48,1,1,1,1,1,1,1,X,X,X,1
49,1,0,1,0,1,1,0,Z,X,Z,1
50,0,1,1,0,1,0,1,X,X,Z,1
51,1,0,0,1,0,1,1,Z,Z,X,1
52,0,1,1,0,1,0,1,X,X,Z,1
53,1,1,1,1,1,1,1,X,X,X,1
54,0,0,0,1,1,0,1,Z,Z,X,1
55,1,1,1,0,0,1,1,X,X,Z,1
56,1,0,1,0,1,1,0,Z,X,Z,1
57,0,0,0,1,1,1,1,Z,Z,X,0
58,0,0,0,0,0,0,1,Z,Z,Z,1
59,0,1,0,1,0,1,0,X,Z,X,0
60,0,1,1,0,0,0,1,X,X,Z,1
61,0,1,0,0,0,0,0,X,Z,Z,1
62,0,0,0,0,0,0,1,Z,Z,Z,1
63,0,1,0,0,1,1,0,X,Z,Z,0
64,0,0,1,0,0,0,0,Z,X,Z,1
65,1,1,0,1,1,0,0,X,Z,X,0
66,1,0,1,0,1,0,0,Z,X,Z,0
67,0,0,1,0,0,0,0,Z,X,Z,1
68,1,0,0,1,0,0,1,Z,Z,X,0
69,1,1,1,1,1,1,1,X,X,X,1
70,1,0,1,1,0,0,0,Z,X,X,0
71,1,0,0,0,1,1,1,Z,Z,Z,1
72,0,0,1,0,0,0,0,Z,X,Z,1
73,1,0,0,1,1,0,1,Z,Z,X,0
74,0,0,1,1,1,1,0,Z,X,X,0
75,1,0,1,1,1,1,0,Z,X,X,1
76,1,1,0,1,1,0,0,X,Z,X,0
77,1,1,0,0,0,0,0,X,Z,Z,0
78,0,0,1,0,0,1,0,Z,X,Z,0
79,1,1,1,0,0,0,1,X,X,Z,0
80,0,1,0,0,1,1,0,X,Z,Z,0
81,1,0,1,0,1,1,0,Z,X,Z,1
82,0,0,1,1,0,0,0,Z,X,X,1
83,1,0,1,0,1,1,0,Z,X,Z,1
84,0,1,1,1,0,0,1,X,X,X,1
85,0,0,0,1,0,1,1,Z,Z,X,0
86,1,1,0,1,1,0,0,X,Z,X,0
87,0,0,0,0,0,0,1,Z,Z,Z,1
88,1,1,0,1,1,1,0,X,Z,X,1
89,1,0,0,0,1,1,1,Z,Z,Z,1
90,1,0,0,1,0,1,1,Z,Z,X,1
91,1,1,1,0,0,0,1,X,X,Z,0
92,1,1,0,1,1,0,0,X,Z,X,0
93,1,1,1,0,1,1,1,X,X,Z,1
94,1,1,1,1,1,1,1,X,X,X,1
95,1,1,1,1,1,1,1,X,X,X,1
96,1,1,0,1,1,0,0,X,Z,X,0
97,1,0,1,1,0,0,0,Z,X,X,0
98,1,1,0,0,0,0,0,X,Z,Z,0
99,0,0,1,0,0,0,0,Z,X,Z,1
100,0,0,1,0,0,0,0,Z,X,Z,1
101,1,1,0,1,1,1,0,X,Z,X,1
102,1,0,1,1,1,1,0,Z,X,X,1
103,1,1,1,1,1,1,1,X,X,X,1
104,1,1,1,1,1,1,1,X,X,X,1
105,1,0,1,1,1,1,0,Z,X,X,1
106,1,0,0,1,1,0,1,Z,Z,X,0
107,1,1,1,0,0,1,1,X,X,Z,1
108,1,1,1,0,0,1,1,X,X,Z,1
109,0,0,0,0,0,0,1,Z,Z,Z,1
110,1,0,1,0,1,0,0,Z,X,Z,0
111,0,0,1,0,0,0,0,Z,X,Z,1
112,1,0,1,0,1,0,0,Z,X,Z,0
113,1,1,1,0,0,0,1,X,X,Z,0
114,0,1,0,0,1,1,0,X,Z,Z,0
115,1,1,1,1,1,1,1,X,X,X,1
116,0,1,0,1,0,0,0,X,Z,X,1
117,1,0,1,1,1,1,0,Z,X,X,1
118,1,0,1,1,1,1,0,Z,X,X,1
119,0,1,1,1,0,0,1,X,X,X,1
120,1,1,0,1,1,1,0,X,Z,X,1
121,0,1,1,1,0,0,1,X,X,X,1
122,1,1,1,0,0,1,1,X,X,Z,1
123,0,1,0,0,0,0,0,X,Z,Z,1
124,0,1,0,1,0,0,0,X,Z,X,1
125,1,1,0,0,0,0,0,X,Z,Z,0
126,1,1,0,0,0,0,0,X,Z,Z,0
127,0,1,1,0,0,1,1,X,X,Z,0
128,1,0,1,0,1,1,0,Z,X,Z,1
129,1,1,1,0,1,0,1,X,X,Z,0
130,1,0,1,1,0,0,0,Z,X,X,0
131,0,0,0,0,0,0,1,Z,Z,Z,1
132,0,1,1,1,0,0,1,X,X,X,1
133,0,1,1,1,0,0,1,X,X,X,1
134,0,0,1,1,0,0,0,Z,X,X,1
135,0,0,1,0,0,0,0,Z,X,Z,1
136,0,1,0,1,0,0,0,X,Z,X,1
137,0,0,1,1,1,1,0,Z,X,X,0
138,0,1,1,1,0,0,1,X,X,X,1
139,0,1,1,1,0,0,1,X,X,X,1
140,1,1,0,0,1,1,0,X,Z,Z,1
141,0,0,0,1,0,1,1,Z,Z,X,0
142,1,0,1,1,0,0,0,Z,X,X,0
143,1,1,1,1,1,1,1,X,X,X,1
144,1,0,1,1,1,1,0,Z,X,X,1
145,0,0,0,0,0,0,1,Z,Z,Z,1
146,0,0,1,1,0,0,0,Z,X,X,1
147,0,0,1,1,0,0,0,Z,X,X,1
148,0,0,1,1,0,0,0,Z,X,X,1
149,1,0,0,1,0,0,1,Z,Z,X,0
150,0,0,1,1,0,0,0,Z,X,X,1
151,0,1,1,1,0,0,1,X,X,X,1
152,0,0,0,0,0,0,1,Z,Z,Z,1
153,0,0,0,1,1,1,1,Z,Z,X,0
154,0,0,1,0,0,1,0,Z,X,Z,0
155,1,0,0,0,1,1,1,Z,Z,Z,1
156,0,0,1,1,1,1,0,Z,X,X,0
157,1,0,0,0,1,1,1,Z,Z,Z,1
158,0,0,0,1,0,1,1,Z,Z,X,0
159,1,0,1,0,1,1,0,Z,X,Z,1
160,0,1,1,1,0,0,1,X,X,X,1
161,0,0,1,0,0,0,0,Z,X,Z,1
162,1,0,0,0,1,1,1,Z,Z,Z,1
163,1,0,1,1,1,1,0,Z,X,X,1
164,1,0,1,0,1,1,0,Z,X,Z,1
165,0,1,1,0,1,1,1,X,X,Z,0
166,1,1,1,0,0,0,1,X,X,Z,0
167,0,1,1,0,0,1,1,X,X,Z,0
168,0,1,0,0,0,0,0,X,Z,Z,1
169,1,1,1,1,1,1,1,X,X,X,1
170,1,1,1,0,0,1,1,X,X,Z,1
171,0,1,0,0,1,1,0,X,Z,Z,0
172,0,1,1,1,0,0,1,X,X,X,1
173,1,1,1,1,1,1,1,X,X,X,1
174,1,1,1,1,1,1,1,X,X,X,1
175,1,1,1,0,1,1,1,X,X,Z,1
176,0,1,1,0,0,0,1,X,X,Z,1
177,0,1,0,0,0,0,0,X,Z,Z,1
178,0,1,0,0,1,1,0,X,Z,Z,0
179,0,1,0,1,0,1,0,X,Z,X,0
180,0,1,1,1,0,0,1,X,X,X,1
181,0,0,0,0,0,0,1,Z,Z,Z,1
182,1,1,1,0,1,1,1,X,X,Z,1
183,0,0,1,0,0,1,0,Z,X,Z,0
184,0,1,1,0,0,0,1,X,X,Z,1
185,0,1,0,1,0,1,0,X,Z,X,0
186,1,0,0,1,0,1,1,Z,Z,X,1
187,0,1,0,0,1,1,0,X,Z,Z,0
188,0,0,1,1,0,0,0,Z,X,X,1
189,1,0,0,0,1,1,1,Z,Z,Z,1
190,0,0,1,0,0,1,0,Z,X,Z,0
191,0,1,0,1,0,1,0,X,Z,X,0
192,0,1,0,0,0,0,0,X,Z,Z,1
193,0,1,1,1,0,0,1,X,X,X,1
194,0,0,1,0,0,1,0,Z,X,Z,0
195,1,0,0,1,0,0,1,Z,Z,X,0
196,1,1,0,0,0,0,0,X,Z,Z,0
197,1,1,0,1,1,1,0,X,Z,X,1
198,0,1,1,0,0,1,1,X,X,Z,0
199,0,1,1,0,0,1,1,X,X,Z,0
200,0,1,0,1,0,1,0,X,Z,X,0
201,1,0,0,0,1,1,1,Z,Z,Z,1
202,0,0,1,1,1,1,0,Z,X,X,0
203,0,0,0,1,1,0,1,Z,Z,X,1
204,1,1,1,0,1,1,1,X,X,Z,1
205,0,0,1,0,0,1,0,Z,X,Z,0
206,1,0,1,0,1,0,0,Z,X,Z,0
207,1,0,1,0,1,1,0,Z,X,Z,1
208,1,0,1,1,0,0,0,Z,X,X,0
209,0,0,1,0,0,0,0,Z,X,Z,1
210,0,1,0,0,0,0,0,X,Z,Z,1
211,0,0,1,0,0,0,0,Z,X,Z,1
212,0,1,1,1,0,0,1,X,X,X,1
213,0,1,0,0,1,1,0,X,Z,Z,0
214,0,1,1,1,0,0,1,X,X,X,1
215,0,1,0,0,0,0,0,X,Z,Z,1
216,1,1,1,1,1,1,1,X,X,X,1
217,0,0,0,0,0,0,1,Z,Z,Z,1
218,1,0,0,0,1,1,1,Z,Z,Z,1
219,0,1,1,1,0,0,1,X,X,X,1
220,0,1,1,0,0,0,1,X,X,Z,1
221,0,1,1,0,1,0,1,X,X,Z,1
222,1,0,1,0,1,0,0,Z,X,Z,0
223,1,1,0,1,1,0,0,X,Z,X,0
224,1,0,0,0,1,1,1,Z,Z,Z,1
225,1,1,0,1,1,1,0,X,Z,X,1
226,0,0,1,1,1,1,0,Z,X,X,0
227,1,1,0,1,1,1,0,X,Z,X,1
228,0,0,1,0,0,0,0,Z,X,Z,1
229,0,1,1,1,0,0,1,X,X,X,1
230,1,0,0,1,0,0,1,Z,Z,X,0
231,1,0,1,0,1,1,0,Z,X,Z,1
232,1,0,0,1,1,0,1,Z,Z,X,0
233,1,0,1,1,0,0,0,Z,X,X,0
234,1,0,0,0,1,1,1,Z,Z,Z,1
235,1,0,1,0,1,1,0,Z,X,Z,1
236,1,0,0,1,1,0,1,Z,Z,X,0
237,1,1,0,0,1,1,0,X,Z,Z,1
238,0,1,1,0,0,1,1,X,X,Z,0
239,1,1,1,0,1,0,1,X,X,Z,0
240,1,1,0,1,1,0,0,X,Z,X,0
241,0,1,1,1,0,0,1,X,X,X,1
242,1,0,1,0,1,1,0,Z,X,Z,1
243,0,0,1,1,0,0,0,Z,X,X,1
244,0,0,0,0,0,0,1,Z,Z,Z,1
245,1,0,0,0,1,1,1,Z,Z,Z,1
246,0,0,1,0,0,0,0,Z,X,Z,1
247,0,1,1,0,0,1,1,X,X,Z,0
248,0,1,0,0,0,0,0,X,Z,Z,1
249,0,1,1,1,0,0,1,X,X,X,1
250,1,1,0,1,1,1,0,X,Z,X,1
251,0,0,1,1,1,1,0,Z,X,X,0
252,1,0,1,1,1,1,0,Z,X,X,1
253,0,0,1,0,0,1,0,Z,X,Z,0
254,0,1,0,0,1,1,0,X,Z,Z,0
255,0,0,0,1,1,1,1,Z,Z,X,0
256,0,1,0,1,0,1,0,X,Z,X,0
257,1,0,0,0,1,1,1,Z,Z,Z,1
258,1,0,1,0,1,1,0,Z,X,Z,1
259,0,1,1,0,0,0,1,X,X,Z,1
260,0,0,0,1,0,0,1,Z,Z,X,1
261,1,0,1,0,1,1,0,Z,X,Z,1
262,0,1,1,0,0,0,1,X,X,Z,1
263,0,0,0,1,1,0,1,Z,Z,X,1
264,0,1,1,1,0,0,1,X,X,X,1
265,1,0,1,1,0,0,0,Z,X,X,0
266,1,0,0,0,1,1,1,Z,Z,Z,1
267,1,0,1,0,1,1,0,Z,X,Z,1
268,0,0,1,1,1,1,0,Z,X,X,0
269,0,0,1,0,0,0,0,Z,X,Z,1
270,1,0,0,0,1,1,1,Z,Z,Z,1
271,1,0,0,0,1,1,1,Z,Z,Z,1
272,1,0,1,1,0,0,0,Z,X,X,0
273,1,1,1,1,1,1,1,X,X,X,1
274,0,1,1,0,1,1,1,X,X,Z,0
275,1,0,0,0,1,1,1,Z,Z,Z,1
276,0,0,0,0,0,0,1,Z,Z,Z,1
277,1,1,0,0,1,1,0,X,Z,Z,1
278,0,0,1,1,1,1,0,Z,X,X,0
279,1,0,1,1,0,0,0,Z,X,X,0
280,1,1,1,0,1,0,1,X,X,Z,0
281,1,0,1,0,1,1,0,Z,X,Z,1
282,1,0,1,1,1,1,0,Z,X,X,1
283,0,1,0,0,0,0,0,X,Z,Z,1
284,1,0,1,1,1,1,0,Z,X,X,1
285,0,0,1,0,0,0,0,Z,X,Z,1
286,0,1,1,1,0,0,1,X,X,X,1
287,0,0,0,0,0,0,1,Z,Z,Z,1
288,0,1,1,0,0,0,1,X,X,Z,1
289,1,0,0,1,1,1,1,Z,Z,X,1
290,0,0,0,1,0,0,1,Z,Z,X,1
291,0,1,0,0,1,1,0,X,Z,Z,0
292,0,1,0,0,0,0,0,X,Z,Z,1
293,1,0,0,1,1,1,1,Z,Z,X,1
294,1,1,1,1,1,1,1,X,X,X,1
295,1,1,1,0,1,0,1,X,X,Z,0
296,1,0,0,0,1,1,1,Z,Z,Z,1
297,0,0,0,1,0,1,1,Z,Z,X,0
298,0,0,0,1,1,0,1,Z,Z,X,1
299,1,1,1,1,1,1,1,X,X,X,1
300,0,1,1,1,0,0,1,X,X,X,1
301,0,1,0,1,0,1,0,X,Z,X,0
302,0,1,1,0,0,0,1,X,X,Z,1
303,1,0,1,0,1,0,0,Z,X,Z,0
304,1,1,0,1,1,1,0,X,Z,X,1
305,0,0,0,0,0,0,1,Z,Z,Z,1
306,1,1,1,0,0,0,1,X,X,Z,0
307,1,0,1,1,1,1,0,Z,X,X,1
308,1,0,1,0,1,0,0,Z,X,Z,0
309,1,0,0,0,1,1,1,Z,Z,Z,1
310,1,1,0,0,1,1,0,X,Z,Z,1
311,0,0,0,1,0,0,1,Z,Z,X,1
312,1,0,1,1,1,1,0,Z,X,X,1
313,0,1,1,0,0,1,1,X,X,Z,0
314,0,0,0,0,0,0,1,Z,Z,Z,1
315,1,1,1,0,1,1,1,X,X,Z,1
316,0,1,0,0,0,0,0,X,Z,Z,1
317,0,0,1,0,0,1,0,Z,X,Z,0
318,0,0,0,0,0,0,1,Z,Z,Z,1
319,1,1,1,1,1,1,1,X,X,X,1
320,1,0,1,0,1,0,0,Z,X,Z,0
321,0,1,0,0,0,0,0,X,Z,Z,1
322,1,1,0,1,1,1,0,X,Z,X,1
323,1,1,0,0,0,0,0,X,Z,Z,0
324,1,0,0,0,1,1,1,Z,Z,Z,1
325,1,1,0,0,0,0,0,X,Z,Z,0
326,0,0,1,0,0,1,0,Z,X,Z,0
327,0,0,0,1,0,1,1,Z,Z,X,0
328,1,0,0,0,1,1,1,Z,Z,Z,1
329,1,0,0,1,0,1,1,Z,Z,X,1
330,0,1,0,0,0,0,0,X,Z,Z,1
331,0,0,0,0,0,0,1,Z,Z,Z,1
332,1,1,1,1,1,1,1,X,X,X,1
333,0,1,0,0,0,0,0,X,Z,Z,1
334,1,0,0,1,1,0,1,Z,Z,X,0
335,1,1,0,1,1,0,0,X,Z,X,0
336,0,1,1,1,0,0,1,X,X,X,1
337,0,0,1,0,0,0,0,Z,X,Z,1
338,1,1,0,0,1,1,0,X,Z,Z,1
339,1,1,0,0,1,1,0,X,Z,Z,1
340,0,1,1,0,0,0,1,X,X,Z,1
341,1,1,1,1,1,1,1,X,X,X,1
342,0,0,1,0,0,0,0,Z,X,Z,1
343,1,1,0,0,1,1,0,X,Z,Z,1
344,0,1,0,1,0,0,0,X,Z,X,1
345,0,1,1,1,0,0,1,X,X,X,1
346,0,1,0,0,1,1,0,X,Z,Z,0
347,1,0,1,1,1,1,0,Z,X,X,1
348,1,1,1,1,1,1,1,X,X,X,1
349,0,0,1,1,1,1,0,Z,X,X,0
350,1,1,0,1,1,0,0,X,Z,X,0
351,0,0,1,1,0,0,0,Z,X,X,1
352,0,0,1,0,0,0,0,Z,X,Z,1
353,1,0,0,0,1,1,1,Z,Z,Z,1
354,1,0,1,0,1,1,0,Z,X,Z,1
355,0,0,0,0,0,0,1,Z,Z,Z,1
356,1,1,1,0,1,1,1,X,X,Z,1
357,1,1,0,0,0,0,0,X,Z,Z,0
358,0,1,1,0,1,1,1,X,X,Z,0
359,0,0,1,1,0,0,0,Z,X,X,1
360,1,1,1,0,0,1,1,X,X,Z,1
361,0,0,1,0,0,0,0,Z,X,Z,1
362,0,0,1,0,0,0,0,Z,X,Z,1
363,1,1,0,1,1,0,0,X,Z,X,0
364,0,1,0,0,1,1,0,X,Z,Z,0
365,0,0,1,0,0,0,0,Z,X,Z,1
366,1,0,1,1,0,0,0,Z,X,X,0
367,1,1,1,0,1,0,1,X,X,Z,0
368,0,1,0,0,1,1,0,X,Z,Z,0
369,0,1,0,1,0,0,0,X,Z,X,1
370,1,1,1,0,1,0,1,X,X,Z,0
371,1,0,0,1,1,0,1,Z,Z,X,0
372,1,1,1,0,0,1,1,X,X,Z,1
373,1,1,1,0,1,1,1,X,X,Z,1
374,0,1,1,0,1,0,1,X,X,Z,1
375,1,0,0,1,1,1,1,Z,Z,X,1
376,1,0,1,1,0,0,0,Z,X,X,0
377,0,0,1,1,1,1,0,Z,X,X,0
378,1,0,1,0,1,1,0,Z,X,Z,1
379,0,1,0,0,1,1,0,X,Z,Z,0
380,1,0,0,1,1,0,1,Z,Z,X,0
381,1,1,0,1,1,1,0,X,Z,X,1
382,1,1,1,0,0,1,1,X,X,Z,1
383,0,1,0,0,1,1,0,X,Z,Z,0
384,0,1,1,0,1,0,1,X,X,Z,1
385,1,0,0,0,1,1,1,Z,Z,Z,1
386,0,0,1,1,1,1,0,Z,X,X,0
387,0,0,0,0,0,0,1,Z,Z,Z,1
388,0,1,1,0,1,1,1,X,X,Z,0
389,0,1,0,0,0,0,0,X,Z,Z,1
390,0,1,0,0,1,1,0,X,Z,Z,0
391,0,1,0,0,0,0,0,X,Z,Z,1
392,1,1,1,0,0,0,1,X,X,Z,0
393,1,0,0,0,1,1,1,Z,Z,Z,1
394,0,1,0,1,0,1,0,X,Z,X,0
395,1,0,0,1,0,0,1,Z,Z,X,0
396,1,1,0,1,1,1,0,X,Z,X,1
397,1,1,1,0,1,1,1,X,X,Z,1
398,1,0,0,1,1,1,1,Z,Z,X,1
399,0,0,1,0,0,1,0,Z,X,Z,0
400,1,1,1,0,1,1,1,X,X,Z,1
401,1,1,1,0,1,0,1,X,X,Z,0
402,0,1,1,0,0,0,1,X,X,Z,1
403,0,1,0,1,0,1,0,X,Z,X,0
404,1,0,1,0,1,1,0,Z,X,Z,1
405,1,1,1,0,1,0,1,X,X,Z,0
406,1,0,1,1,1,1,0,Z,X,X,1
407,1,1,1,1,1,1,1,X,X,X,1
408,1,0,0,1,0,0,1,Z,Z,X,0
409,1,0,0,0,1,1,1,Z,Z,Z,1
410,0,1,1,1,0,0,1,X,X,X,1
411,1,0,1,0,1,0,0,Z,X,Z,0
412,1,1,1,0,1,0,1,X,X,Z,0
413,0,0,0,1,1,0,1,Z,Z,X,1
414,0,1,0,1,0,0,0,X,Z,X,1
415,0,0,0,1,1,0,1,Z,Z,X,1
416,0,1,0,0,0,0,0,X,Z,Z,1
417,1,1,0,0,1,1,0,X,Z,Z,1
418,1,0,1,0,1,1,0,Z,X,Z,1
419,1,0,0,0,1,1,1,Z,Z,Z,1
420,1,0,0,0,1,1,1,Z,Z,Z,1
421,1,0,1,0,1,0,0,Z,X,Z,0
422,1,1,0,1,1,0,0,X,Z,X,0
423,0,0,0,0,0,0,1,Z,Z,Z,1
424,1,1,0,1,1,1,0,X,Z,X,1
425,0,0,1,1,1,1,0,Z,X,X,0
426,0,1,0,1,0,0,0,X,Z,X,1
427,1,1,1,1,1,1,1,X,X,X,1
428,0,1,1,1,0,0,1,X,X,X,1
429,1,1,0,0,1,1,0,X,Z,Z,1
430,0,0,0,0,0,0,1,Z,Z,Z,1
431,1,0,0,0,1,1,1,Z,Z,Z,1
432,0,1,0,0,0,0,0,X,Z,Z,1
433,1,0,1,1,0,0,0,Z,X,X,0
434,1,0,0,1,1,0,1,Z,Z,X,0
435,1,1,1,1,1,1,1,X,X,X,1
436,1,0,1,0,1,1,0,Z,X,Z,1
437,1,0,1,0,1,1,0,Z,X,Z,1
438,0,0,1,0,0,1,0,Z,X,Z,0
439,0,1,1,0,1,0,1,X,X,Z,1
440,0,0,0,1,1,0,1,Z,Z,X,1
441,1,1,1,1,1,1,1,X,X,X,1
442,0,0,1,0,0,0,0,Z,X,Z,1
443,1,0,0,0,1,1,1,Z,Z,Z,1
444,1,0,0,1,0,0,1,Z,Z,X,0
445,0,1,1,1,0,0,1,X,X,X,1
446,0,1,1,1,0,0,1,X,X,X,1
447,1,0,0,1,0,1,1,Z,Z,X,1
448,0,1,1,0,1,0,1,X,X,Z,1
449,1,0,0,1,1,1,1,Z,Z,X,1
450,1,1,0,1,1,1,0,X,Z,X,1
451,1,1,1,1,1,1,1,X,X,X,1
452,1,0,0,1,1,0,1,Z,Z,X,0
453,1,0,1,0,1,0,0,Z,X,Z,0
454,0,0,1,0,0,1,0,Z,X,Z,0
455,0,0,1,0,0,1,0,Z,X,Z,0
456,1,1,0,0,1,1,0,X,Z,Z,1
457,1,1,1,0,0,0,1,X,X,Z,0
458,0,1,0,0,0,0,0,X,Z,Z,1
459,0,0,1,1,1,1,0,Z,X,X,0
460,1,0,1,1,0,0,0,Z,X,X,0
461,0,1,0,1,0,1,0,X,Z,X,0
462,1,0,1,1,1,1,0,Z,X,X,1
